strategy,vt,sl,tp,session_start,session_end,hold,be,trail,trades,pf,median_pf,pnl,win_rate,max_dd,trades_per_month,trades_per_year,years_profitable,years_pf_ok,per_year_pf,score
vol_spike_bracket,0.1,0.5,3.0,0,24,6,0.5,0.3,3112,1.548,1.6204,598.24,0.4749,14.91,43.2,518.7,6,6,2021:1.40|2022:1.36|2023:1.67|2024:1.57|2025:1.75|2026:2.89,70.00128000000001
vol_spike_bracket,0.1,0.5,3.0,0,24,12,0.5,0.3,3112,1.5486,1.6191,598.86,0.4759,14.91,43.2,518.7,6,6,2021:1.40|2022:1.36|2023:1.67|2024:1.57|2025:1.75|2026:2.89,69.94512
vol_spike_bracket,0.1,0.5,3.0,0,24,24,0.5,0.3,3112,1.5486,1.6191,598.86,0.4759,14.91,43.2,518.7,6,6,2021:1.40|2022:1.36|2023:1.67|2024:1.57|2025:1.75|2026:2.89,69.94512
momentum_short,0.25,3.5,6.0,7,20,24,1.0,0.0,1059,2.6803,2.693,1708.53,0.7809,64.03,14.7,176.5,6,6,2021:3.28|2022:1.41|2023:1.65|2024:2.16|2025:3.23|2026:13.79,39.5871
momentum_short,0.25,4.0,12.0,7,20,24,0.8,0.0,1041,2.8999,2.7205,1724.57,0.8252,73.12,14.5,173.5,6,6,2021:4.00|2022:2.42|2023:1.60|2024:1.72|2025:3.02|2026:22.73,39.44725
ema_cross_short,0.25,3.5,8.0,7,20,24,1.0,0.0,875,3.3884,3.2332,1847.64,0.8,45.45,12.2,145.8,6,6,2021:4.05|2022:2.20|2023:1.85|2024:2.42|2025:4.35|2026:10.47,39.44504
momentum_short,0.25,3.5,10.0,7,20,24,1.0,0.0,1035,3.0234,2.7343,2029.76,0.7778,64.28,14.4,172.5,6,6,2021:3.89|2022:1.84|2023:1.65|2024:2.44|2025:3.03|2026:19.17,39.373920000000005
ema_cross_short,0.25,3.5,8.0,7,20,48,1.0,0.0,875,3.3507,3.1954,1839.12,0.8034,45.45,12.2,145.8,6,6,2021:4.05|2022:2.15|2023:1.87|2024:2.34|2025:4.30|2026:10.47,38.98387999999999
ema_cross_short,0.25,3.5,10.0,7,20,24,1.0,0.0,864,3.7768,3.2106,2125.96,0.7998,45.45,12.0,144.0,6,6,2021:3.61|2022:2.73|2023:1.92|2024:2.81|2025:5.03|2026:11.94,38.5272
atr_bracket,0.3,1.5,8.0,0,24,48,1.0,0.0,1670,1.3784,1.3152,792.08,0.5018,130.46,23.2,278.3,5,5,2021:1.68|2022:1.17|2023:0.86|2024:1.16|2025:1.46|2026:2.00,30.512639999999998
atr_bracket,0.3,1.5,8.0,0,24,24,1.0,0.0,1670,1.3784,1.3152,792.08,0.5018,130.46,23.2,278.3,5,5,2021:1.68|2022:1.17|2023:0.86|2024:1.16|2025:1.46|2026:2.00,30.512639999999998
atr_bracket,0.3,2.0,8.0,0,24,12,1.0,0.0,1659,1.288,1.3094,637.55,0.5226,149.24,23.0,276.5,5,5,2021:1.50|2022:1.15|2023:0.78|2024:1.10|2025:1.46|2026:1.66,30.1162
fade_short,0.15,0.5,8.0,7,20,48,0.0,0.0,1096,1.4255,1.4112,355.4,0.0949,57.3,15.2,182.7,5,5,2021:2.18|2022:1.63|2023:1.40|2024:1.20|2025:1.43|2026:0.75,21.45024
fade_short,0.15,0.5,8.0,7,20,48,0.0,0.5,1096,1.4255,1.4112,355.4,0.0949,57.3,15.2,182.7,5,5,2021:2.18|2022:1.63|2023:1.40|2024:1.20|2025:1.43|2026:0.75,21.45024
fade_short,0.15,0.5,8.0,7,20,12,0.0,0.0,1098,1.4114,1.3821,328.95,0.0893,60.02,15.2,183.0,5,5,2021:2.20|2022:1.54|2023:1.37|2024:1.25|2025:1.39|2026:0.75,21.007920000000002
fade_long,0.1,0.5,2.0,13,20,6,0.5,0.3,1073,1.4468,1.3712,303.09,0.4352,41.76,14.9,178.8,6,6,2021:1.00|2022:1.48|2023:1.27|2024:1.15|2025:1.61|2026:2.37,20.43088
fade_long,0.1,0.5,2.0,13,20,12,0.5,0.3,1073,1.443,1.3712,301.3,0.4352,41.76,14.9,178.8,5,5,2021:0.99|2022:1.48|2023:1.27|2024:1.15|2025:1.61|2026:2.37,20.43088
fade_long,0.1,0.5,2.0,13,20,24,0.5,0.3,1073,1.443,1.3712,301.3,0.4352,41.76,14.9,178.8,5,5,2021:0.99|2022:1.48|2023:1.27|2024:1.15|2025:1.61|2026:2.37,20.43088
